=== AHC 066 Comparison Report ===
Code A: temp.cpp
Code B: A_submit.cpp
------------------------------------------------------------
【ケース別結果】
Case 0059.txt | A:    238 [完走] (0.57s) | B:    238 [完走] (0.54s) | 引き分け (差: 0)
Case 0060.txt | A:    464 [完走] (0.95s) | B:    464 [完走] (0.94s) | 引き分け (差: 0)
Case 0061.txt | A:    193 [完走] (0.44s) | B:    193 [完走] (0.43s) | 引き分け (差: 0)
Case 0062.txt | A:    267 [完走] (0.57s) | B:    267 [完走] (0.57s) | 引き分け (差: 0)
Case 0063.txt | A:    545 [完走] (1.08s) | B:    545 [完走] (1.05s) | 引き分け (差: 0)
Case 0064.txt | A:    203 [完走] (0.42s) | B:    203 [完走] (0.42s) | 引き分け (差: 0)
Case 0065.txt | A:     98 [完走] (0.24s) | B:     98 [完走] (0.22s) | 引き分け (差: 0)
Case 0066.txt | A:    223 [完走] (0.49s) | B:    223 [完走] (0.49s) | 引き分け (差: 0)
Case 0067.txt | A:    201 [完走] (0.41s) | B:    201 [完走] (0.48s) | 引き分け (差: 0)
Case 0068.txt | A:    289 [完走] (0.60s) | B:    289 [完走] (0.61s) | 引き分け (差: 0)
Case 0069.txt | A:    227 [完走] (0.45s) | B:    227 [完走] (0.49s) | 引き分け (差: 0)
Case 0070.txt | A:    259 [完走] (0.52s) | B:    259 [完走] (0.53s) | 引き分け (差: 0)
Case 0071.txt | A:    466 [完走] (0.85s) | B:    466 [完走] (0.86s) | 引き分け (差: 0)
Case 0072.txt | A:    252 [完走] (0.56s) | B:    252 [完走] (0.56s) | 引き分け (差: 0)
Case 0073.txt | A:    271 [完走] (0.54s) | B:    271 [完走] (0.53s) | 引き分け (差: 0)
Case 0074.txt | A:    139 [完走] (0.28s) | B:    139 [完走] (0.28s) | 引き分け (差: 0)
Case 0075.txt | A:    455 [完走] (0.96s) | B:    455 [完走] (1.01s) | 引き分け (差: 0)
Case 0076.txt | A:    190 [完走] (0.39s) | B:    190 [完走] (0.39s) | 引き分け (差: 0)
Case 0077.txt | A:    106 [完走] (0.21s) | B:    106 [完走] (0.21s) | 引き分け (差: 0)
Case 0078.txt | A:    136 [完走] (0.29s) | B:    136 [完走] (0.30s) | 引き分け (差: 0)
Case 0079.txt | A:     82 [完走] (0.17s) | B:     82 [完走] (0.18s) | 引き分け (差: 0)
Case 0080.txt | A:    157 [完走] (0.32s) | B:    157 [完走] (0.31s) | 引き分け (差: 0)
Case 0081.txt | A:    168 [完走] (0.36s) | B:    168 [完走] (0.36s) | 引き分け (差: 0)
Case 0082.txt | A:    534 [完走] (1.01s) | B:    534 [完走] (1.00s) | 引き分け (差: 0)
Case 0083.txt | A:    153 [完走] (0.31s) | B:    153 [完走] (0.33s) | 引き分け (差: 0)
Case 0084.txt | A:     97 [完走] (0.20s) | B:     97 [完走] (0.21s) | 引き分け (差: 0)
Case 0085.txt | A:     80 [完走] (0.18s) | B:     80 [完走] (0.17s) | 引き分け (差: 0)
Case 0086.txt | A:     63 [完走] (0.14s) | B:     63 [完走] (0.14s) | 引き分け (差: 0)
Case 0087.txt | A:    165 [完走] (0.36s) | B:    165 [完走] (0.35s) | 引き分け (差: 0)
Case 0088.txt | A:    117 [完走] (0.26s) | B:    117 [完走] (0.26s) | 引き分け (差: 0)
Case 0089.txt | A:    187 [完走] (0.38s) | B:    187 [完走] (0.37s) | 引き分け (差: 0)
Case 0090.txt | A:    258 [完走] (0.52s) | B:    258 [完走] (0.52s) | 引き分け (差: 0)
Case 0091.txt | A:    147 [完走] (0.30s) | B:    147 [完走] (0.32s) | 引き分け (差: 0)
Case 0092.txt | A:    485 [代替] (0.52s) | B:    672 [代替] (0.53s) | A 勝利 (差: 187)
Case 0093.txt | A:     85 [完走] (0.19s) | B:     85 [完走] (0.19s) | 引き分け (差: 0)
Case 0094.txt | A:     90 [完走] (0.21s) | B:     90 [完走] (0.20s) | 引き分け (差: 0)
Case 0095.txt | A:    178 [完走] (0.38s) | B:    178 [完走] (0.38s) | 引き分け (差: 0)
Case 0096.txt | A:    295 [完走] (0.63s) | B:    295 [完走] (0.62s) | 引き分け (差: 0)
Case 0097.txt | A:    215 [完走] (0.43s) | B:    215 [完走] (0.44s) | 引き分け (差: 0)
Case 0098.txt | A:     90 [完走] (0.18s) | B:     90 [完走] (0.19s) | 引き分け (差: 0)
Case 0099.txt | A:    155 [完走] (0.32s) | B:    155 [完走] (0.32s) | 引き分け (差: 0)
Case 0100.txt | A:    135 [完走] (0.27s) | B:    135 [完走] (0.27s) | 引き分け (差: 0)
Case 0101.txt | A:     79 [完走] (0.17s) | B:     79 [完走] (0.18s) | 引き分け (差: 0)
Case 0102.txt | A:    194 [完走] (0.40s) | B:    194 [完走] (0.38s) | 引き分け (差: 0)
Case 0103.txt | A:    397 [完走] (0.87s) | B:    397 [完走] (0.79s) | 引き分け (差: 0)
Case 0104.txt | A:    270 [完走] (0.57s) | B:    270 [完走] (0.58s) | 引き分け (差: 0)
Case 0105.txt | A:    216 [完走] (0.46s) | B:    216 [完走] (0.44s) | 引き分け (差: 0)
Case 0106.txt | A:    172 [完走] (0.39s) | B:    172 [完走] (0.38s) | 引き分け (差: 0)
Case 0107.txt | A:    165 [完走] (0.33s) | B:    165 [完走] (0.32s) | 引き分け (差: 0)
