### seed:53 ###

=== [Phase 1] Probe Start (0.3s) ===
Probe Result : Failed (Time out or Dead End)
Difficulty   : HARD
====================================

=== [Phase 2] Main Search Start ===
Trial 27 | Beam: 38 | Noise: 574 | Pen: 1 | Trn: 298 | Bte: 287 | Grb: 25 | Time: 35ms | Nodes: 22166 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 28 | Beam: 11 | Noise: 1911 | Pen: 1 | Trn: 13 | Bte: 448 | Grb: 78 | Time: 22ms | Nodes: 11322 | Result: Failed [Early Stopped (Stuck)] (Turn: 533, Matched: 24/192, Garbage: 0)
Trial 29 | Beam: 27 | Noise: 894 | Pen: 1 | Trn: 245 | Bte: 77 | Grb: 45 | Time: 66ms | Nodes: 29647 | Result: Failed [Early Stopped (Stuck)] (Turn: 1075, Matched: 24/192, Garbage: 0)
Trial 30 | Beam: 36 | Noise: 1558 | Pen: 3 | Trn: 99 | Bte: 320 | Grb: 37 | Time: 196ms | Nodes: 132894 | Result: 4370 moves  <-- Best Updated!
Trial 31 | Beam: 44 | Noise: 834 | Pen: 1 | Trn: 240 | Bte: 358 | Grb: 79 | Time: 40ms | Nodes: 20574 | Result: Failed [Early Stopped (Stuck)] (Turn: 79, Matched: 24/192, Garbage: 0)
Trial 32 | Beam: 10 | Noise: 1483 | Pen: 3 | Trn: 162 | Bte: 17 | Grb: 42 | Time: 10ms | Nodes: 5151 | Result: Failed [Early Stopped (Stuck)] (Turn: 239, Matched: 24/192, Garbage: 0)
Trial 33 | Beam: 29 | Noise: 524 | Pen: 1 | Trn: 40 | Bte: 438 | Grb: 46 | Time: 199ms | Nodes: 123661 | Result: 5723 moves
Trial 34 | Beam: 10 | Noise: 943 | Pen: 3 | Trn: 65 | Bte: 57 | Grb: 57 | Time: 8ms | Nodes: 8898 | Result: Failed [Early Stopped (Stuck)] (Turn: 315, Matched: 24/192, Garbage: 3)
Trial 35 | Beam: 22 | Noise: 1481 | Pen: 2 | Trn: 203 | Bte: 118 | Grb: 15 | Time: 22ms | Nodes: 14135 | Result: Failed [Early Stopped (Stuck)] (Turn: 202, Matched: 24/192, Garbage: 2)
Trial 36 | Beam: 17 | Noise: 1285 | Pen: 1 | Trn: 229 | Bte: 322 | Grb: 69 | Time: 160ms | Nodes: 110842 | Result: 7907 moves
Trial 37 | Beam: 33 | Noise: 901 | Pen: 3 | Trn: 101 | Bte: 206 | Grb: 73 | Time: 29ms | Nodes: 19717 | Result: Failed [Early Stopped (Stuck)] (Turn: 49, Matched: 24/192, Garbage: 0)
Trial 38 | Beam: 19 | Noise: 1809 | Pen: 2 | Trn: 161 | Bte: 462 | Grb: 54 | Time: 19ms | Nodes: 9973 | Result: Failed [Early Stopped (Stuck)] (Turn: 139, Matched: 23/192, Garbage: 0)
Trial 39 | Beam: 47 | Noise: 773 | Pen: 2 | Trn: 285 | Bte: 31 | Grb: 16 | Time: 44ms | Nodes: 20475 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 24/192, Garbage: 0)
Trial 40 | Beam: 44 | Noise: 1291 | Pen: 3 | Trn: 31 | Bte: 35 | Grb: 88 | Time: 39ms | Nodes: 18100 | Result: Failed [Early Stopped (Stuck)] (Turn: 57, Matched: 24/192, Garbage: 6)
Trial 41 | Beam: 22 | Noise: 554 | Pen: 3 | Trn: 145 | Bte: 264 | Grb: 67 | Time: 158ms | Nodes: 105390 | Result: 5934 moves
Trial 42 | Beam: 11 | Noise: 997 | Pen: 3 | Trn: 88 | Bte: 304 | Grb: 66 | Time: 8ms | Nodes: 5334 | Result: Failed [Early Stopped (Stuck)] (Turn: 49, Matched: 24/192, Garbage: 0)
Trial 43 | Beam: 32 | Noise: 578 | Pen: 1 | Trn: 255 | Bte: 217 | Grb: 13 | Time: 29ms | Nodes: 20687 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 44 | Beam: 47 | Noise: 1913 | Pen: 1 | Trn: 98 | Bte: 220 | Grb: 51 | Time: 265ms | Nodes: 184345 | Result: 4641 moves
Trial 45 | Beam: 37 | Noise: 1861 | Pen: 3 | Trn: 240 | Bte: 239 | Grb: 94 | Time: 246ms | Nodes: 176901 | Result: 5947 moves
Trial 46 | Beam: 26 | Noise: 694 | Pen: 3 | Trn: 119 | Bte: 127 | Grb: 6 | Time: 27ms | Nodes: 14982 | Result: Failed [Early Stopped (Stuck)] (Turn: 207, Matched: 24/192, Garbage: 0)
Trial 47 | Beam: 29 | Noise: 1787 | Pen: 1 | Trn: 189 | Bte: 130 | Grb: 3 | Time: 44ms | Nodes: 19094 | Result: Failed [Early Stopped (Stuck)] (Turn: 35, Matched: 20/192, Garbage: 0)
Trial 48 | Beam: 27 | Noise: 742 | Pen: 1 | Trn: 216 | Bte: 360 | Grb: 16 | Time: 146ms | Nodes: 102981 | Result: 4235 moves  <-- Best Updated!
Trial 49 | Beam: 25 | Noise: 924 | Pen: 1 | Trn: 279 | Bte: 124 | Grb: 25 | Time: 142ms | Nodes: 92585 | Result: 4274 moves
Trial 50 | Beam: 13 | Noise: 1824 | Pen: 2 | Trn: 105 | Bte: 212 | Grb: 0 | Time: 25ms | Nodes: 8187 | Result: Failed [Early Stopped (Stuck)] (Turn: 480, Matched: 23/192, Garbage: 0)
Trial 51 | Beam: 10 | Noise: 1539 | Pen: 2 | Trn: 220 | Bte: 494 | Grb: 72 | Time: 8ms | Nodes: 8236 | Result: Failed [Early Stopped (Stuck)] (Turn: 47, Matched: 24/192, Garbage: 0)
Trial 52 | Beam: 11 | Noise: 1072 | Pen: 3 | Trn: 186 | Bte: 117 | Grb: 64 | Time: 17ms | Nodes: 9670 | Result: Failed [Early Stopped (Stuck)] (Turn: 707, Matched: 24/192, Garbage: 0)
Trial 53 | Beam: 50 | Noise: 779 | Pen: 3 | Trn: 207 | Bte: 52 | Grb: 21 | Time: 50ms | Nodes: 20940 | Result: Failed [Early Stopped (Stuck)] (Turn: 97, Matched: 24/192, Garbage: 2)
Trial 54 | Beam: 34 | Noise: 1424 | Pen: 2 | Trn: 278 | Bte: 71 | Grb: 94 | Time: 51ms | Nodes: 18347 | Result: Failed [Early Stopped (Stuck)] (Turn: 35, Matched: 20/192, Garbage: 0)
Trial 55 | Beam: 10 | Noise: 1791 | Pen: 3 | Trn: 21 | Bte: 54 | Grb: 62 | Time: 12ms | Nodes: 5182 | Result: Failed [Early Stopped (Stuck)] (Turn: 35, Matched: 20/192, Garbage: 0)
Trial 56 | Beam: 31 | Noise: 1925 | Pen: 3 | Trn: 90 | Bte: 128 | Grb: 57 | Time: 28ms | Nodes: 15714 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 57 | Beam: 44 | Noise: 1704 | Pen: 3 | Trn: 39 | Bte: 462 | Grb: 22 | Time: 234ms | Nodes: 147073 | Result: 4111 moves  <-- Best Updated!
Trial 58 | Beam: 25 | Noise: 1441 | Pen: 3 | Trn: 45 | Bte: 324 | Grb: 35 | Time: 21ms | Nodes: 10697 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 59 | Beam: 36 | Noise: 792 | Pen: 3 | Trn: 209 | Bte: 47 | Grb: 66 | Time: 33ms | Nodes: 13988 | Result: Failed [Early Stopped (Stuck)] (Turn: 83, Matched: 24/192, Garbage: 0)
Trial 60 | Beam: 40 | Noise: 804 | Pen: 2 | Trn: 92 | Bte: 12 | Grb: 77 | Time: 58ms | Nodes: 16801 | Result: Failed [Early Stopped (Stuck)] (Turn: 35, Matched: 20/192, Garbage: 0)
Trial 61 | Beam: 38 | Noise: 1067 | Pen: 3 | Trn: 78 | Bte: 124 | Grb: 8 | Time: 177ms | Nodes: 127328 | Result: 4024 moves  <-- Best Updated!
Trial 62 | Beam: 38 | Noise: 1010 | Pen: 3 | Trn: 271 | Bte: 466 | Grb: 7 | Time: 199ms | Nodes: 133080 | Result: 4242 moves
Trial 63 | Beam: 10 | Noise: 1943 | Pen: 3 | Trn: 254 | Bte: 223 | Grb: 14 | Time: 11ms | Nodes: 7200 | Result: Failed [Early Stopped (Stuck)] (Turn: 23, Matched: 10/192, Garbage: 0)
